Cooperativa,Nome fantasia,Estado,Cidade,Status da escola,Programa Educacional
Sicredi Região Centro RS/MG,EEEF Pe. Rafael Iop,RIO GRANDE DO SUL,SAO JOAO DO POLESINE,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF PADRE THÉO,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF PADRE THÉO,RIO GRANDE DO SUL,SAO SEPE,Ativo,Cooperativas Escolares
Sicredi Região Centro RS/MG,EMEF JOÃO PESSOA,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF JOÃO PESSOA,RIO GRANDE DO SUL,SAO SEPE,Ativo,Cooperativas Escolares
Sicredi Vale do Jaguari e Zona da Mata RS/MG,E.M.E.F. Presidente Getúlio Vargas,RIO GRANDE DO SUL,JAGUARI,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEI Maria Malgarin Frizzo,RIO GRANDE DO SUL,NOVA ESPERANCA DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF FRANCISCO GIULIANI,RIO GRANDE DO SUL,RESTINGA SECA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF FRANCISCO GIULIANI,RIO GRANDE DO SUL,RESTINGA SECA,Ativo,Cooperativas Escolares
Sicredi Vale do Jaguari e Zona da Mata RS/MG,E.M.E.I. Tia Mana,RIO GRANDE DO SUL,JAGUARI,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF SÃO JOSÉ,RIO GRANDE DO SUL,CHIAPETTA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF DR. PESTANA,RIO GRANDE DO SUL,AUGUSTO PESTANA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEI Lar da Ternura,RIO GRANDE DO SUL,JOIA,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,Colégio TOTEM,RIO GRANDE DO SUL,CACHOEIRA DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF SETE DE SETEMBRO,RIO GRANDE DO SUL,RESTINGA SECA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,E.M.E.F. São José,RIO GRANDE DO SUL,JAGUARI,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,E.M.E.I. Doce Encanto,RIO GRANDE DO SUL,JAGUARI,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEI PEQUENO PRÍNCIPE,RIO GRANDE DO SUL,CHIAPETTA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.JACINTO INÁCIO,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF EMÍLIO DE MENEZES,RIO GRANDE DO SUL,AJURICABA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Major Tancredo de Moraes,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Anjinho Travesso,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Criança Feliz,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Tito Beccon,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Emei Gente Miúda,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEI Beija Flor,RIO GRANDE DO SUL,SAO JOAO DO POLESINE,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.F. ODESSA MARIA TEIXEIRA PETRARCA,RIO GRANDE DO SUL,LAVRAS DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Dom Luiz Victor Sartori,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EEEM ÉRICO VERÍSSIMO,RIO GRANDE DO SUL,RESTINGA SECA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF MIGUEL BURNIER,RIO GRANDE DO SUL,CORONEL BARROS,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEI Bem-me-quer,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF LEONOR PIRES DE MACEDO,RIO GRANDE DO SUL,RESTINGA SECA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF LEONOR PIRES DE MACEDO,RIO GRANDE DO SUL,RESTINGA SECA,Ativo,Cooperativas Escolares
Sicredi das Culturas RS/MG,EMEF ROCHA POMBO,RIO GRANDE DO SUL,AUGUSTO PESTANA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEI ESTRELINHA DOURADA,RIO GRANDE DO SUL,AUGUSTO PESTANA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Colégio Estadual José Benincá,RIO GRANDE DO SUL,NOVA ESPERANCA DO SUL,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Emef Coqueiros,RIO GRANDE DO SUL,SAO VICENTE DO SUL,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Emef Antero Xavier,RIO GRANDE DO SUL,SAO VICENTE DO SUL,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Emef Dr Ayres,RIO GRANDE DO SUL,SAO VICENTE DO SUL,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,E.M.E.I Meu Cantinho,RIO GRANDE DO SUL,CORONEL BICACO,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EEEM  São Vicente,RIO GRANDE DO SUL,SAO VICENTE DO SUL,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEF Eduardo Lutz,RIO GRANDE DO SUL,SAO VICENTE DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Pedro Paulo Pradella,RIO GRANDE DO SUL,SAO JOAO DO POLESINE,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Emei Cristo Educador,RIO GRANDE DO SUL,SAO VICENTE DO SUL,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,E.M.E.F Francisco Manoel Diniz,RIO GRANDE DO SUL,CORONEL BICACO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.E.E.F. DOM ÉRICO FERRARI,RIO GRANDE DO SUL,NOVA PALMA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,"E.M, de Educação Especial Romeu Dedé Ribeiro",RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,E.M.E.F Pedro Ferreira Bueno,RIO GRANDE DO SUL,CORONEL BICACO,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,E.M.E.F Cristóvão Colombo,RIO GRANDE DO SUL,CORONEL BICACO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Tiradentes,RIO GRANDE DO SUL,DONA FRANCISCA,Ativo,A União Faz a Vida
